rid,horseName,age,saddle,decimalPrice,isFav,trainerName,jockeyName,position,positionL,dist,weightSt,weightLb,overWeight,outHandicap,headGear,RPR,TR,OR,father,mother,gfather,runners,margin,weight,res_win,res_place
271381,John Bowdler Music,4.0,5.0,0.08333333333333333,0,Mark Johnston,Joe Fanning,1,,,9,8,,,,77.0,71.0,63.0,Soviet Star,Arianna Aldini,Habitat,12,1.2889212095094449,60,1.0,1
271381,Anokato,5.0,4.0,0.16666666666666666,0,T G Mills,Simon Whitworth,2,.5,,9,9,,,b,76.0,71.0,64.0,Tina's Pet,High Velocity I,Frimley Park,12,1.2889212095094449,61,0.0,1
271381,Acid TestI,4.0,7.0,0.13333333333333333,0,Mark Buckley,Robbie Fitzpatrick,3,1.25,1.75,8,12,,,,66.0,62.0,58.0,Sharpo,Clunk Click,Star Appeal,12,1.2889212095094449,56,0.0,1
271381,Half Tone,7.0,8.0,0.1,0,R M Flower,Dane O'Neill,4,3.5,5.25,8,13,,,b,53.0,49.0,54.0,Touch Of Grey,Demilinga,Nishapour,12,1.2889212095094449,56,0.0,0
271381,Comeoutofthefog,4.0,6.0,0.2222222222222222,0,A J McNae,Neil Pollard,5,.5,5.75,9,1,,,,58.0,55.0,61.0,Mujadil,Local Belle,Ballymore,12,1.2889212095094449,57,0.0,0
271381,Dancing Jack,6.0,12.0,0.047619047619047616,0,John Bridger,Gary Bardwell,6,hd,6.0,7,10,,6.0,,34.0,30.0,37.0,Clantime,Sun Follower,Relkino,12,1.2889212095094449,48,0.0,0
271381,Sharp Imp,9.0,10.0,0.05882352941176471,0,R M Flower,Steve Drowne,7,.5,6.5,8,5,,,b,41.0,38.0,46.0,Sharpo,Implore,Ile De Bourbon,12,1.2889212095094449,53,0.0,0
271381,Justinianus,7.0,11.0,0.038461538461538464,0,John Bridger,Jimmy Quinn,8,.5,7.0,7,12,2.0,6.0,,33.0,29.0,39.0,Try My Best,Justitia,Dunbeath,12,1.2889212095094449,49,0.0,0
271381,Out Like Magic,4.0,9.0,0.06666666666666668,0,David Evans,Tom McLaughlin,9,1.25,8.25,8,11,,,,42.0,39.0,52.0,Magic Ring,Thevetia,Mummy's Pet,12,1.2889212095094449,55,0.0,0
271381,Pageboy,10.0,3.0,0.25,1,P C Haslam,L Charnock,10,hd,8.5,9,10,,,b,55.0,52.0,65.0,Tina's Pet,Edwins' Princess,Owen Dudley,12,1.2889212095094449,61,0.0,0
271381,Facile Tigre,4.0,1.0,0.08333333333333333,0,Simon Dow,Paul Doe,11,1.25,9.75,9,9,,,,55.0,52.0,69.0,Efisio,Dancing Diana,Raga Navarro,12,1.2889212095094449,61,0.0,0
271381,Teofilio,5.0,2.0,0.038461538461538464,0,A J McNae,T Sprake,12,1.5,11.25,9,11,,,,49.0,46.0,66.0,Night Shift,Rivoltade,Sir Ivor,12,1.2889212095094449,62,0.0,0
276412,Luscombe,6.0,4.0,0.1,0,Peter Jones,Peter Ryan,1,,,9,8,,,,77.0,70.0,76.0,Tirol,Slipalong,Slip Anchor,7,1.1196209587513937,60,1.0,1
276412,Oriental Style,5.0,2.0,0.16666666666666666,0,G B Balding,Barry Keniry,2,2.5,,10,2,,,v,83.0,76.0,84.0,Indian Ridge,Bazaar Promise,Native Bazaar,7,1.1196209587513937,64,0.0,1
276412,Another Chancer,8.0,7.0,0.26666666666666666,0,D R Gandolfo,S Wynne,3,11,13.5,10,0,,3.0,,66.0,64.0,75.0,Scallywag,Acuity,Sharp Edge,7,1.1196209587513937,63,0.0,0
276412,Selberry,5.0,1.0,0.3478260869565217,1,E L James,J R Kavanagh,4,18,31.5,12,2,,,,82.0,76.0,105.0,Selkirk,Choke Cherry,Connaught,7,1.1196209587513937,77,0.0,0
276412,Native Tango,6.0,5.0,0.1,0,Mark Campion,C Maude,40,,,10,0,,,,66.0,,75.0,Be My Native,Rathshade,Bustineto,7,1.1196209587513937,63,0.0,0
276412,Sandoran,6.0,3.0,0.038461538461538464,0,Martin Hill,D Salter,40,,,10,0,,,,74.0,,78.0,Gildoran,Party Miss,West Partisan,7,1.1196209587513937,63,0.0,0
276412,Veiled Dancer,6.0,6.0,0.1,0,R G Frost,Mr A Holdsworth,40,,,10,0,,3.0,,,,75.0,Shareef Dancer,Fatal Distraction,Formidable I,7,1.1196209587513937,63,0.0,0
287431,Marigliano,6.0,6.0,0.3333333333333333,1,Kevin Morgan,R Forristal,1,,,9,8,,,,109.0,63.0,97.0,Riverman,Mount Holyoke,Golden Fleece,6,1.080952380952381,60,1.0,1
