rid,horseName,age,saddle,decimalPrice,isFav,trainerName,jockeyName,position,positionL,dist,weightSt,weightLb,overWeight,outHandicap,headGear,RPR,TR,OR,father,mother,gfather,runners,margin,weight,res_win,res_place
272927,Strong Suspicion,7.0,0.0,0.2222222222222222,1,A L T Moore,P L Malone,1,,,10,13,,,,,,,Strong Gale,Shady Doorknocker,Mon Capitaine,13,1.4315237050531169,69,1.0,1
272927,Baltray,10.0,0.0,0.06666666666666668,0,J T R Dreaper,K Morgan,2,2.5,,11,7,,,b,,,,Hardboy,Unsinkable Sarah,Mon Capitaine,13,1.4315237050531169,73,0.0,1
272927,Mister Chatterbox,10.0,0.0,0.16666666666666666,0,J R H Fowler,D P Fagan,3,10,12.5,11,2,,,b,,,,Le Bavard,Farthest South,Shackleton,13,1.4315237050531169,70,0.0,1
272927,Culleendubh,11.0,0.0,0.1111111111111111,0,S F Maye,G Kilfeather,4,10,22.5,11,7,,,,,,,Bonne Noel,Har Valley,Harwell,13,1.4315237050531169,73,0.0,0
272927,Calliealla,6.0,0.0,0.06666666666666668,0,M Keane,A Powell,5,dist,52.5,10,3,3.0,,,,,,Callernish,Shady Ahan,Mon Capitaine,13,1.4315237050531169,64,0.0,0
272927,La Cerise,8.0,0.0,0.047619047619047616,0,F Flood,F J Flood,6,,52.5,10,6,,,,,,,Le Bavard,French Cherry,Escart III,13,1.4315237050531169,66,0.0,0
272927,Allenroid,12.0,0.0,0.0196078431372549,0,Mark McCausland,L Flynn,7,,52.5,9,4,,,,,,,Polaroid,Glenallen,Carnatic,13,1.4315237050531169,58,0.0,0
272927,Famous Stout,6.0,0.0,0.09090909090909093,0,Denis J Reddan,K F O'Brien,40,,,11,13,,,,,,,Strong Gale,Cinnamon Saint,Be Friendly,13,1.4315237050531169,75,0.0,0
272927,Secret VentureI,9.0,0.0,0.09090909090909093,0,R H Macnabb,F Woods,40,,,11,8,,,b,,,,Oats,Betty's Delight,Le Moss,13,1.4315237050531169,73,0.0,0
272927,Kilsheelan Lad,8.0,0.0,0.125,0,R Donoghue,P McWilliams,40,,,11,1,,,,,,,Kambalda,Lady Ashton,Anthony,13,1.4315237050531169,70,0.0,0
272927,Propunt,6.0,0.0,0.2222222222222222,1,John J Walsh,H Rogers,40,,,10,5,,,,,,,Proverb,Puntamore,Merrymount,13,1.4315237050531169,65,0.0,0
272927,Golden See,7.0,0.0,0.125,0,Patrick Rooney,Charlie Swan,40,,,11,4,,,,,,,Crozier,Toison D'Or,Tanavar,13,1.4315237050531169,71,0.0,0
272927,Its A Snip,6.0,0.0,0.07692307692307693,0,Ruby Walsh,J Collins,40,,,9,10,,,,,,,Monksfield,Snipkin,Straight Lad,13,1.4315237050531169,61,0.0,0
281581,Fast Study,6.0,0.0,0.1111111111111111,0,D Nicholson,Martin Jones,1,,,10,11,,,,103.0,,,Crash Course,Mary May,Little Buskins,9,1.2286181139122314,68,1.0,1
281581,Riverside Boy,8.0,0.0,0.2,0,M C Pipe,J Railton,3,,,11,0,,,,104.0,,,Funny ManI,Tamorina,Quayside I,9,1.2286181139122314,69,0.0,1
281581,Celtic Prince I,5.0,0.0,0.3809523809523809,1,Nigel Twiston-Davies,R Rowe,2,.5,,11,4,,,,106.0,,,Celtic Cone,Lothian Countess I,New Brig,9,1.2286181139122314,71,0.0,1
281581,Truth Be Told,7.0,0.0,0.06666666666666668,0,J T Gifford,M C G Laurence,4,12,12.5,11,0,,,,90.0,,,Proverb,Cacador's Magnet,Chinatown,9,1.2286181139122314,69,0.0,0
281581,Mr Flutts,5.0,0.0,0.047619047619047616,0,G B Balding,J Frost,5,10,22.5,11,0,,,,80.0,,,Derrylin,Madam Flutterbye,Quiet Fling,9,1.2286181139122314,69,0.0,0
281581,Anzac Hero,4.0,0.0,0.125,0,D H Barons,N Hawke,6,3,25.5,10,11,,,,77.0,,,War Hawk I,Mer Voleuse,Le Filou,9,1.2286181139122314,68,0.0,0
281581,Cwm Gwaun,7.0,0.0,0.14285714285714285,0,J A C Edwards,S Earle,7,2.5,28.0,11,0,,,,74.0,,,Le Bavard,Glenbawn Lady,Orchardist,9,1.2286181139122314,69,0.0,0
281581,Maritime Fly,5.0,0.0,0.125,0,D H Barons,H Davies,8,3,31.0,11,0,,,,71.0,,,Sea Anchor,Balimene,Balidar,9,1.2286181139122314,69,0.0,0
281581,Romany Monarch,6.0,0.0,0.029411764705882363,0,Mrs S Armytage,M Bosley,40,,,11,0,,,,,,,Nickel King,Gypsy Girl I,Marmont I,9,1.2286181139122314,69,0.0,0
285620,Tauber,7.0,0.0,0.25,0,Pat Mitchell,S O'Gorman,1,,,9,2,,,,71.0,60.0,83.0,Taufan,Our Bernie,Continuation,6,1.0946798299739475,58,1.0,1
285620,Respectable Jones,5.0,0.0,0.25,0,G B Balding,J Williams,2,2,,9,8,,,,66.0,60.0,84.0,Tina's Pet,Jonesee,Dublin Taxi,6,1.0946798299739475,60,0.0,1
285620,Love Legend,6.0,0.0,0.3076923076923077,1,David Arbuthnot,T Quinn,3,hd,2.25,10,0,,,,72.0,65.0,90.0,Glint Of Gold,Sweet Emma,Welsh Saint,6,1.0946798299739475,63,0.0,0
285620,Halvoya,6.0,0.0,0.09090909090909093,0,John Spearing,Gary Bardwell,4,1,3.25,7,8,1.0,5.0,,36.0,29.0,56.0,Bay Express,Porsanger,Zeddaan,6,1.0946798299739475,48,0.0,0
285620,Saint Systems,5.0,0.0,0.16666666666666666,0,C J Hill,George Duffield,5,7,10.25,8,8,,,,,21.0,70.0,Uncle Pokey,Fire Mountain I,Dragonara Palace,6,1.0946798299739475,54,0.0,0
285620,Apres Huit,4.0,0.0,0.029411764705882363,0,Mrs N Macauley,R Street,6,12,22.25,7,7,,1.0,b,,,55.0,Day Is Done,Ma Minti,Mummy's Pet,6,1.0946798299739475,47,0.0,0
287794,Bird Of Spirit,11.0,0.0,0.0196078431372549,0,M Scudamore,D Tegg,1,,,10,1,,,,92.0,40.0,86.0,Hot Brandy,Bird Of Honour,Mark Of Esteem,19,1.227668856771024,63,1.0,1
287794,Cima,13.0,0.0,0.047619047619047616,0,Jim Old,P Davies,2,1.5,,11,3,,,,113.0,54.0,109.0,High Top,Lemon Blossom,Acropolis,19,1.227668856771024,71,0.0,1
287794,PolishI,13.0,0.0,0.038461538461538464,0,K S Bridgwater,A Carroll,3,2,3.5,10,7,,,,94.0,44.0,92.0,Tycoon II,Preshine,Specific I,19,1.227668856771024,66,0.0,1
287794,Saint Acton,10.0,0.0,0.038461538461538464,0,C R Barwell,Mr R Davis,4,1.5,5.0,11,2,,,,108.0,51.0,108.0,Phaeton,Sainte Maureen,Sanctus,19,1.227668856771024,70,0.0,1
287794,Indamu,6.0,0.0,0.1111111111111111,0,John Spearing,A Webb,5,15,20.0,10,9,,,,79.0,35.0,94.0,Indian King,Kilfenora,Tribal Chief,19,1.227668856771024,67,0.0,0
287794,Thamesdown Tootsie,6.0,0.0,0.2,1,A P Jones,N Thomas,6,3,23.0,10,9,,,,83.0,33.0,101.0,Comedy Star,Lizzie Lightfoot,Hotfoot I,19,1.227668856771024,67,0.0,0
287794,Stocksign,10.0,0.0,0.038461538461538464,0,C A Smith,C Smith,7,20,43.0,10,11,,,,,22.0,96.0,King's Bishop,Ruff Up,Rough'n Tumble,19,1.227668856771024,68,0.0,0
287794,Hello Sam,8.0,0.0,0.038461538461538464,0,James Bennett,M Richards,8,15,58.0,10,2,,,,,,87.0,Hello Gorgeous,Samra,Welsh Saint,19,1.227668856771024,64,0.0,0
287794,Shah's Choice,8.0,0.0,0.029411764705882363,0,C L Popham,S McNeill,9,12,70.0,10,13,,,,,,98.0,Persian Bold,Royal Display I,Right Royal,19,1.227668856771024,69,0.0,0
287794,Kathy Cook,6.0,0.0,0.047619047619047616,0,Reg Hollinshead,S Wynne,10,.75,70.75,10,0,,,,,,92.0,Glenstal,Belmont Blue,Kashmir II,19,1.227668856771024,63,0.0,0
287794,Dry Gin,8.0,0.0,0.0196078431372549,0,Michael Chapman,W Humphreys,40,,,10,1,,,,,,86.0,Grundy,Karajinska,Nijinsky,19,1.227668856771024,63,0.0,0
287794,Fishing Smack,8.0,0.0,0.029411764705882363,0,B Byford,G 'Old' Martin,40,,,10,7,,,,,,92.0,Bustiki,Shell Fish,Hard Ridden,19,1.227668856771024,66,0.0,0
287794,Old Kilpatrick,6.0,0.0,0.08333333333333333,0,Miss S J Wilton,S Old Davies,40,,,11,5,,,b,,,107.0,Touching Wood,Mother BrownI,Candy Cane,19,1.227668856771024,72,0.0,0
287794,Tanderagee,10.0,0.0,0.029411764705882363,0,Richard Lee,W McFarland,40,,,10,6,,,,,,91.0,Trasi's Son,Whitney,Venture VII,19,1.227668856771024,66,0.0,0
287794,Artful Charley,11.0,0.0,0.0196078431372549,0,A Fowler,R J Beggan,40,,,10,3,3.0,5.0,,,,88.0,Articulate,Green Monkey I,Court Harwell,19,1.227668856771024,64,0.0,0
287794,The Parson's Nun,7.0,0.0,0.06666666666666668,0,R J Eckley,D Gallagher,40,,,10,3,,,,,,88.0,The Parson,Hill Invader,Brave Invader,19,1.227668856771024,64,0.0,0
287794,Podrida,5.0,0.0,0.10526315789473684,0,B Stevens,J Shortt,40,,,10,3,,,,,,88.0,Persepolis,Pot Pourri I,Busted,19,1.227668856771024,64,0.0,0
287794,De Profundis,7.0,0.0,0.18181818181818185,0,P G Bailey,D Skyrme,40,,,10,3,,,v,,,91.0,Deep Run,Men's Fun,Menelek,19,1.227668856771024,64,0.0,0
287794,Juranstan,6.0,0.0,0.08333333333333333,0,C C Trietline,S J O'Neill,40,,,10,9,,,,,,94.0,Furry Glen,Atlantic Hope,Brave Invader,19,1.227668856771024,67,0.0,0
290127,Royal Derbi,6.0,0.0,0.18181818181818185,0,N A Callaghan,D Murphy,1,,,11,7,,,,158.0,132.0,,Derrylin,Royal Birthday,St Paddy,8,1.1632075941918691,73,1.0,1
290127,Aldino,8.0,0.0,0.05882352941176471,0,Oliver Sherwood,Jamie Osborne,2,6,,11,10,,,b,,,,Artaius,Allotria,Red God,8,1.1632075941918691,74,0.0,1
290127,Floyd,11.0,0.0,0.09090909090909093,0,David Elsworth,Graham Bradley,3,hd,6.25,11,10,,,b,155.0,129.0,,Relko,Honey Palm,Honeyway,8,1.1632075941918691,74,0.0,1
290127,Past Glories,8.0,0.0,0.18181818181818185,0,J Hetherton,J J Quinn,4,30,36.25,11,4,,,,119.0,92.0,,Hittite Glory,Snow Tribe,Great Nephew,8,1.1632075941918691,71,0.0,0
290127,Loren's Courage,6.0,0.0,0.15384615384615385,0,G Harwood,M Perrett,5,5,41.25,11,4,,,,114.0,87.0,,Solford,Roman Luster,Proudest Roman,8,1.1632075941918691,71,0.0,0
290127,Solo Artist,6.0,0.0,0.0099009900990099,0,R Simpson,W Morris,6,8,49.25,11,4,,,,106.0,79.0,,Young Generation,Jubilee Song I,Song,8,1.1632075941918691,71,0.0,0
290127,Western Wolf,6.0,0.0,0.0099009900990099,0,C L Popham,Carl Llewellyn,7,,49.25,11,4,,,,,,,Wolverlife,Sweet Kate,Slippered,8,1.1632075941918691,71,0.0,0
290127,Beech Road,9.0,0.0,0.4761904761904762,1,G B Balding,Richard Guest,40,,,12,0,,,,,,,Nearly A Hand,North Bovey,Flush Royal,8,1.1632075941918691,76,0.0,0
309224,Arctic Teal,7.0,0.0,0.3333333333333333,1,Oliver Sherwood,M Richards,1,,,11,0,,,b,106.0,104.0,,Town And Country,Arctic Warbler,Deep Run,8,1.058002485723636,69,1.0,1
309224,Close Escape,8.0,0.0,0.3333333333333333,1,Mrs C M Budd,Steve Smith-Eccles,2,20,,11,0,,,,86.0,88.0,,Sunyboy,Tarquann,Elegant Stephen,8,1.058002485723636,69,0.0,1
