rid,horseName,age,saddle,decimalPrice,isFav,trainerName,jockeyName,position,positionL,dist,weightSt,weightLb,overWeight,outHandicap,headGear,RPR,TR,OR,father,mother,gfather,runners,margin,weight,res_win,res_place
270318,Peggy Barry,7.0,14.0,0.09090909090909093,0,Paul Nolan,John Cullen,1,,,11,2,,,,105.0,,,Montelimar,Winterville,Rusticaro,15,1.6174694586459293,70,1.0,1
270318,Avondale Illusion,8.0,1.0,0.3333333333333333,1,W J Burke,Mr P Fenton,2,8,,12,0,,,,102.0,,,Satco,Tattered Illusion,Our Mirage,15,1.6174694586459293,76,0.0,1
270318,Chermesina,6.0,8.0,0.05882352941176471,0,Timothy Doyle,Tom Doyle,3,8,16.0,11,6,,,,89.0,,,Be My Native,Annabrook Lass,Laurence O,15,1.6174694586459293,72,0.0,1
270318,Banogue Lass,6.0,7.0,0.2222222222222222,0,Augustine Leahy,Mr R Flavin,4,.75,16.75,11,2,,,,88.0,,,Good Thyne,Moorsville,Phardante,15,1.6174694586459293,70,0.0,0
270318,Marico,7.0,3.0,0.047619047619047616,0,W Power,Mr J G Sheehan,5,1,17.75,11,7,,,,92.0,,,Lord Americo,Gilt Course,Crash Course,15,1.6174694586459293,73,0.0,0
270318,Mallaca Hill,6.0,2.0,0.1111111111111111,0,W P Mullins,Mr J A Nash,6,4,21.75,12,0,,,,88.0,,,Sharp Charter,Rare Weed,Frigid Aire,15,1.6174694586459293,76,0.0,0
270318,Ta Dha Suil Agam,6.0,5.0,0.2,0,Patrick J F Hassett,Mr T N Cloke,7,2.5,24.25,11,7,,,,86.0,,,Sula Bula,Marina Bird,Julio Mariner,15,1.6174694586459293,73,0.0,0
270318,Whitefield King,7.0,6.0,0.07692307692307693,0,Seamus O'Farrell,Mr E Norris,8,9,33.25,11,11,,,,77.0,,,Un Desperado,Fair Tender,Tender King,15,1.6174694586459293,74,0.0,0
270318,Commanche Flyer,7.0,9.0,0.07692307692307693,0,Denis Paul Murphy,Mr P Fahey,9,12,45.25,11,6,,,b,60.0,,,Commanche Run,Must Clear,Al Sirat I,15,1.6174694586459293,72,0.0,0
270318,Deise Flower,7.0,10.0,0.07692307692307693,0,Ms M Flynn,Davy Russell,10,2,47.25,11,2,,,,58.0,,,Cardinal Flower,Deise Lady,Le Bavard,15,1.6174694586459293,70,0.0,0
270318,Perky Lisa,7.0,15.0,0.038461538461538464,0,J R Phelan,Mr R F O'Gorman,11,20,67.25,11,2,,,,38.0,,,Executive Perk,Wreck-Em-All,Wrekin Rambler,15,1.6174694586459293,70,0.0,0
270318,Natkelden,7.0,13.0,0.05882352941176471,0,Patrick Sinnott,R M Walsh,12,15,82.25,11,6,,,t,23.0,,,Looking For,Frogs First,Beldale Flutter,15,1.6174694586459293,72,0.0,0
270318,Mosgownow,8.0,11.0,0.047619047619047616,0,G M O'Neill,Mr A P O'Mullane,13,1,83.25,11,2,,,,22.0,,,Moscow Society,Doc's Dolly,Menelek,15,1.6174694586459293,70,0.0,0
270318,Native Belle,6.0,12.0,0.06666666666666668,0,Patrick Heffernan,Mr A Fitzgerald,14,25,108.25,11,4,,,t,-9.0,,,Be My Native,Tokay Lady,Furry Glen,15,1.6174694586459293,71,0.0,0
270318,River Shamrock,6.0,4.0,0.1111111111111111,0,Seamus O'Farrell,Mr K R O'Ryan,40,,,11,9,,,,,,,Alphabatim,High Feather,Nishapour,15,1.6174694586459293,73,0.0,0
344106,No Problem,9.0,8.0,0.16666666666666666,1,Gerard Cully,J R Barry,1,,,11,1,,,,98.0,99.0,84.0,Le Moss,Soft Talk,Goldhill,15,1.3493770934947404,70,1.0,1
344106,All But,8.0,13.0,0.05882352941176471,0,John J Foley,J P Elliott,2,3,,9,2,1.0,,tb,75.0,77.0,64.0,Roselier,Cloncunny,Teofane,15,1.3493770934947404,58,0.0,1
344106,Northern Sound,7.0,5.0,0.047619047619047616,0,John Roche,Mr A Fleming,3,14,17.0,11,0,,,,87.0,89.0,90.0,Montelimar,Castle Felda,Le Moss,15,1.3493770934947404,69,0.0,1
344106,Roseland,9.0,10.0,0.06666666666666668,0,Martin J O'Keeffe,Ken Whelan,4,4,21.0,10,5,,,,67.0,69.0,74.0,Roselier,Pennyland,Le Bavard,15,1.3493770934947404,65,0.0,0
344106,Streamstown,6.0,6.0,0.125,0,C F Swan,G Cotter,5,7,28.0,11,6,,,,75.0,77.0,89.0,Rashar,Lady Torsil,Torus,15,1.3493770934947404,72,0.0,0
