rid,horseName,age,saddle,decimalPrice,isFav,trainerName,jockeyName,position,positionL,dist,weightSt,weightLb,overWeight,outHandicap,headGear,RPR,TR,OR,father,mother,gfather,runners,margin,weight,res_win,res_place
266886,Sea Devil,8.0,0.0,0.25,1,M J Camacho,L Charnock,1,,,9,11,,,,75.0,84.0,,Absalom,Miss Poinciana,Averof,14,1.287827695180636,62,1.0,1
266886,Dream Carrier,6.0,0.0,0.2,0,David Barron,Paul Eddery,2,.5,,9,10,,,,73.0,82.0,,Doulab,Dream Trader,Auction Ring,14,1.287827695180636,61,0.0,1
266886,Valiant Man,3.0,0.0,0.125,0,J Wharton,Jimmy Quinn,3,6,6.5,8,7,,,b,58.0,65.0,,Valiyar,Redcross Miss,Tower Walk,14,1.287827695180636,53,0.0,1
266886,Hawaymyson,4.0,0.0,0.06666666666666668,0,A P Stringer,Dale Gibson,4,3,9.5,9,4,,,,46.0,52.0,,Mazaad,Northern Amber,Shack,14,1.287827695180636,58,0.0,0
266886,Hinari Video,9.0,0.0,0.07692307692307693,0,Mark Johnston,J Weaver,5,hd,9.75,9,4,,,,46.0,52.0,,Sallust,Little Cynthia,Wolver Hollow,14,1.287827695180636,58,0.0,0
266886,Palacegate Jo,3.0,0.0,0.2222222222222222,0,David Evans,C Rutter,6,.5,10.25,7,13,,,,41.0,48.0,,Drumalis,Welsh Rhyme,Welsh Term,14,1.287827695180636,50,0.0,0
266886,Prepace Lady,3.0,0.0,0.047619047619047616,0,Les Eyre,N Carlisle,7,4,14.25,7,12,,,,31.0,36.0,,Good Times,Duckbill,Nicholas Bill,14,1.287827695180636,49,0.0,0
266886,In Demand,3.0,0.0,0.07692307692307693,0,Mrs J R Ramsden,M Wigham,8,.5,14.75,8,5,,,,37.0,41.0,,Nomination,Romantic Saga,Prince Tenderfoot,14,1.287827695180636,53,0.0,0
266886,Melodic Habit,7.0,0.0,0.0196078431372549,0,Mrs A Knight,Simon Whitworth,9,1.5,16.25,8,12,,,,25.0,28.0,,Muscatite,Magyar Melody,Prince Tenderfoot,14,1.287827695180636,56,0.0,0
266886,Swagger Lady,3.0,0.0,0.07692307692307693,0,David Nicholls,Allan Mackay,10,1.5,17.75,7,12,1.0,,b,23.0,26.0,,Tate Gallery,Live Ammo,Home Guard,14,1.287827695180636,49,0.0,0
266886,Farndale,7.0,0.0,0.038461538461538464,0,B C Morgan,S D Williams,11,3.5,21.25,9,5,,,,20.0,21.0,,Vaigly Great,Beloved Mistress,Rarity,14,1.287827695180636,59,0.0,0
266886,Ya Mai,4.0,0.0,0.038461538461538464,0,Michael Chapman,David McCabe,12,2,23.25,8,13,,,,,10.0,,Mtoto,Glory Of Hera,Formidable I,14,1.287827695180636,56,0.0,0
266886,Manadel,4.0,0.0,0.029411764705882363,0,Roy Bowring,G Strange,13,5,28.25,8,5,,,,,,,Governor General,Manabel,Manado,14,1.287827695180636,53,0.0,0
266886,Dogma,5.0,0.0,0.0196078431372549,0,D W Chapman,Joe Fanning,14,12,40.25,8,11,,,,,,,Kabour,Domineering,Dominion,14,1.287827695180636,55,0.0,0
273209,Speedy Classic,5.0,0.0,0.125,0,M J Heaton-Ellis,Stephen Davies,1,,,8,4,,,b,50.0,53.0,46.0,Storm Cat,Shadows Lengthen I,Star Appeal,16,1.4568828230592934,52,1.0,1
273209,Superlativemaximus,6.0,0.0,0.08333333333333333,0,James Bennett,T Sprake,2,nk,,9,11,,,,67.0,74.0,64.0,Superlative,Samra,Welsh Saint,16,1.4568828230592934,62,0.0,1
273209,Croft Imperial,7.0,0.0,0.125,0,Mark Johnston,J Weaver,3,.5,0.75,10,0,,,,69.0,75.0,67.0,Crofthall,Farinara,Dragonara Palace,16,1.4568828230592934,63,0.0,1
273209,Karinska,4.0,0.0,0.09090909090909093,0,Michael Chapman,David McCabe,4,nk,1.0,9,9,,,,68.0,69.0,67.0,Master Willie,Kaiserchronik,Cortez,16,1.4568828230592934,61,0.0,1
273209,Medland,4.0,0.0,0.05882352941176471,0,D A Wilson,Dale Gibson,5,1.5,2.5,8,1,,,,38.0,44.0,40.0,Imperial Frontier,Miami Dancer,Miami Springs,16,1.4568828230592934,51,0.0,0
273209,Hoy-Liegh-Rag,4.0,0.0,0.047619047619047616,0,J Berry,P Roberts,6,1.5,4.0,8,3,,,,43.0,42.0,49.0,Glow,Wuthering Falls,Wind And Wuthering,16,1.4568828230592934,52,0.0,0
273209,Gymcrak Tycoon,5.0,0.0,0.047619047619047616,0,G Holmes,Alex Greaves,7,3,7.0,9,5,,,,45.0,50.0,58.0,Last Tycoon,Brazen Faced,Bold And Free I,16,1.4568828230592934,59,0.0,0
273209,Stormy Heights,4.0,0.0,0.07692307692307693,0,J R Jenkins,Simon Whitworth,8,1,8.0,8,10,,,b,34.0,38.0,49.0,Golden Heights,Brown Taw,Whistlefield,16,1.4568828230592934,55,0.0,0
273209,Take It In Cash,5.0,0.0,0.1,0,Robin Dickin,C Rutter,9,.75,8.75,8,1,,,,23.0,27.0,40.0,Ballacashtal,Soft Secret,Most Secret,16,1.4568828230592934,51,0.0,0
273209,Grand Time,5.0,0.0,0.125,0,C J Hill,Jimmy Quinn,10,hd,9.0,8,6,,,,28.0,31.0,45.0,Clantime,Panay,Arch Sculptor,16,1.4568828230592934,53,0.0,0
273209,Strip Cartoon,6.0,0.0,0.2,1,Roy Bowring,G Strange,11,1,10.0,8,6,,,v,33.0,29.0,52.0,Tate Gallery,Reveal,Pitskelly,16,1.4568828230592934,53,0.0,0
273209,Courting Newmarket,6.0,0.0,0.05882352941176471,0,Mrs A Knight,Marie Plowright,12,.5,10.5,9,4,,,,43.0,39.0,64.0,Final Straw,Warm Wind,Tumble Wind I,16,1.4568828230592934,58,0.0,0
273209,Lancaster Pilot,4.0,0.0,0.09090909090909093,0,Les Eyre,J Tate,13,.75,11.25,8,5,,,,27.0,24.0,49.0,Crofthall,Spinner,Blue Cashmere,16,1.4568828230592934,53,0.0,0
273209,Kalar,5.0,0.0,0.08333333333333333,0,D W Chapman,Joe Fanning,14,hd,11.5,8,8,,,b,24.0,27.0,47.0,Kabour,Wind And Reign,Tumble Wind I,16,1.4568828230592934,54,0.0,0
273209,Girl Next Door,4.0,0.0,0.07692307692307693,0,R C Spicer,Allan Mackay,15,1,12.5,9,4,,,,32.0,34.0,57.0,Local Suitor,Tight Spin,High Top,16,1.4568828230592934,58,0.0,0
273209,Beckyhannah,4.0,0.0,0.06666666666666668,0,Robin Bastiman,L Charnock,16,5,17.5,8,1,,,b,,3.0,40.0,Rambling RiverI,Munequita,Marching On,16,1.4568828230592934,51,0.0,0
285556,Tiddy Oggie,3.0,0.0,0.3076923076923077,0,N A Graham,Frankie Dettori,1,,,9,0,,,,57.0,57.0,,Nomination,Careless Whisper,Broadway Forli,7,1.2806507218271923,57,1.0,1
285556,Thorny Bishop,3.0,0.0,0.08333333333333333,0,John Bridger,Gary Bardwell,2,.5,,9,0,,,,56.0,56.0,,Belfort,Hill Of Fare,Brigadier Gerard,7,1.2806507218271923,57,0.0,1
